id;plan_code;plan_name;plan_state;plan_start_time;plan_end_time;remark;created_by;created_date;last_modified_by;last_modified_date
1;Borders;capacity toolset;OPEN;2023-04-12T13:23:44;2023-04-13T05:15:17;Function-based;withdrawal Ameliorated International;2023-04-12T17:22:24;human-resource;2023-04-13T06:06:26
2;Checking auxiliary;Borders Avon;CLOSE;2023-04-12T18:51:37;2023-04-12T16:43:58;Adaptive Fantastic Nebraska;Kids dot-com RAM;2023-04-12T16:18:06;deposit Books;2023-04-12T12:48:00
3;XML Cape;back Savings;OPEN;2023-04-12T17:10:56;2023-04-12T14:14:09;envisioneer Account navigating;withdrawal;2023-04-13T04:43:07;Riel French Berkshire;2023-04-12T18:30:19
4;hierarchy invoice;connecting Savings;CLOSE;2023-04-12T10:50:29;2023-04-13T03:09:39;SQL Orchestrator withdrawal;RAM;2023-04-12T12:24:22;Yuan;2023-04-13T00:08:23
5;navigate;calculating;CLOSE;2023-04-12T17:20:29;2023-04-12T16:22:25;Handcrafted Cambridgeshire Account;Guilder;2023-04-13T07:34:55;experiences;2023-04-12T14:54:11
6;Handmade;deposit Garden data-warehouse;OPEN;2023-04-12T19:27:42;2023-04-13T02:53:37;relationships;Granite encoding Associate;2023-04-13T05:37:23;enable;2023-04-12T21:23:11
7;online Representative;plum seize functionalities;OPEN;2023-04-12T20:56:08;2023-04-13T03:02:00;Quality-focused;encoding Versatile;2023-04-13T00:03:38;panel payment Real;2023-04-13T01:49:14
8;revolutionary mindshare payment;Implementation;OPEN;2023-04-12T20:38:38;2023-04-13T06:21:27;Manager Frozen Coordinator;Borders Customer;2023-04-12T16:31:00;infrastructure Secured;2023-04-13T02:32:21
9;green Buckinghamshire;Directives sensor Shilling;OPEN;2023-04-12T20:37:48;2023-04-13T01:40:54;Tasty Garden Handcrafted;Verde Phased;2023-04-13T00:04:08;distributed Loan Unbranded;2023-04-12T15:59:47
10;e-tailers Optimized;synthesizing firewall coherent;CLOSE;2023-04-13T06:22:49;2023-04-13T02:32:48;Mexico microchip Administrator;Money;2023-04-12T15:36:54;deposit;2023-04-12T15:44:25
