id;business_id;business_type;fac_id;area_id;remake;created_by;created_date;last_modified_by;last_modified_date
1;connecting index Metal;MAC;connecting International;array sticky Jewelery;payment withdrawal optical;scale infrastructure;2023-04-12T16:59:53;bandwidth Republic;2023-04-12T21:13:41
2;ivory synthesizing;MAC;Practical SMTP transmitter;reboot Frozen;Oklahoma;green Beauty Lead;2023-04-13T06:25:18;Causeway;2023-04-12T22:42:55
3;Small reinvent Senior;MAC;mobile Wooden;Strategist;Islands Iran Norwegian;Account Unbranded real-time;2023-04-13T00:28:10;deposit syndicate foreground;2023-04-12T19:29:37
4;online Alaska Product;MAC;TCP;Village Health payment;Pennsylvania executive;Timor-Leste;2023-04-12T23:41:18;e-tailers core;2023-04-12T16:26:59
5;Berkshire;MAC;invoice;calculate;Riel Balanced;Sleek systematic Car;2023-04-12T21:03:01;tolerance bandwidth Granite;2023-04-12T17:34:43
6;redefine primary multi-byte;MAC;neural;Strategist;Chicken one-to-one;Virginia Coordinator Sweden;2023-04-13T05:31:53;driver Gorgeous;2023-04-12T20:38:30
7;Toys Table Ameliorated;MAC;sky Metical Legacy;60;complexity;Steel Account;2023-04-12T17:06:41;primary Forge;2023-04-12T20:45:34
8;Technician;MAC;Architect;Web;Product Health;Ohio Shoes;2023-04-12T18:09:49;parse Global Peso;2023-04-12T12:20:22
9;Networked digital Corporate;MAC;Grocery;neural green yellow;Awesome;Wooden;2023-04-13T03:57:43;Shilling;2023-04-12T14:49:45
10;Ergonomic;MAC;gold FTP Mississippi;Wooden XML;De-engineered up;Lari Avon;2023-04-13T07:48:29;bypass reboot;2023-04-12T15:47:02
