id;business_id;business_type;fac_id;area_id;plan_code;plan_name;plan_start_time;plan_end_time;created_by;created_date;last_modified_by;last_modified_date
1;Frozen;MAC;sky;Awesome protocol Iceland;Arizona quantifying New;Intelligent channels;2023-04-13T03:07:24;2023-04-12T16:29:16;adapter;2023-04-12T08:13:12;Sports;2023-04-12T18:47:42
2;Concrete Rial;MAC;viral Fantastic;Program Loan Home;target methodologies online;parse Liaison;2023-04-12T13:44:49;2023-04-12T19:30:17;Practical Sharable web-readiness;2023-04-12T13:40:10;open-source;2023-04-12T09:58:12
3;maximize Investor;MAC;synthesizing;Berkshire interface redefine;Accountability Automotive fuchsia;platforms Track online;2023-04-13T03:15:16;2023-04-12T16:46:30;up;2023-04-12T15:07:16;Court unleash streamline;2023-04-13T03:29:07
4;Arab AI Functionality;MAC;Terrace Agent;Associate Gloves;Borders compressing;Lari Incredible;2023-04-12T21:38:36;2023-04-12T10:05:28;calculating;2023-04-12T22:08:45;SAS Account;2023-04-13T07:01:50
5;Assimilated;MAC;Open-architected distributed Arizona;optical;copy;JBOD;2023-04-13T07:19:27;2023-04-12T20:38:28;Lesotho Martinique Fresh;2023-04-12T21:01:05;Taka District turn-key;2023-04-13T04:43:10
6;Cotton;MAC;Montenegro Small orchid;Niue Salad Corporate;Shirt;Concrete Chair;2023-04-12T10:08:52;2023-04-12T23:55:51;invoice analyzing;2023-04-12T19:59:17;Steel deposit;2023-04-12T16:57:31
7;Fully-configurable;MAC;Alaska;index interfaces;hour Savings JSON;Home overriding generating;2023-04-12T23:37:01;2023-04-12T18:22:44;Consultant;2023-04-12T18:36:23;Outdoors SSL wireless;2023-04-13T05:04:05
8;synthesize Open-source Bedfordshire;MAC;experiences;Human;Buckinghamshire scalable;index Secured Markets;2023-04-12T08:30:21;2023-04-12T17:52:34;red ivory;2023-04-12T23:35:13;Senior JSON;2023-04-13T03:17:45
9;Representative Palladium;MAC;pixel reboot Generic;open-source web-enabled Mouse;Architect program maroon;mint;2023-04-12T11:58:07;2023-04-13T07:41:26;Switchable;2023-04-12T10:18:23;algorithm Yemeni;2023-04-13T05:58:27
10;quantifying XML;MAC;Administrator;Motorway;set;card up Ameliorated;2023-04-12T15:50:09;2023-04-12T09:27:32;Portugal Granite program;2023-04-12T17:25:44;Buckinghamshire;2023-04-12T11:06:14
